index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Category,Category1,RegionGo,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
1,14883299,2,148801,Absent,48,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,17,15,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,RS,1,0,24.72536231884058,-22.0,17,0.90625,34.0,,52.0,,0.578125,0.007454186295369829,,,,,
4,14883299,5,148801,Absent,15,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,30,2,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,RS,4,0,24.72536231884058,30.0,47,0.9875,15.0,0.13953488372093023,27.0,0.006806579693703907,0.390625,0.020796234419099814,0.90625,,,15,0.007454186295369829
9,14883299,10,148801,Absent,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,22,10,Unicorn_Absent,-1,-1,0,Unicorn_Absent,RS,RS,RS,9,0,24.72536231884058,24.72536231884058,69,0.9375,17.0,0.18518518518518517,42.0,0.018518518518518517,0.5,0.016194143319162562,0.9875,0.13953488372093023,0.006806579693703907,2,0.020796234419099814
10,14883299,11,148801,Absent,60,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,5,27,Unicorn_Absent,-1,-1,0,Unicorn_Absent,RS,RS,RS,10,0,24.72536231884058,24.72536231884058,74,0.83125,41.0,0.13725490196078433,52.0,0.24010358860525344,0.390625,0.008264124158046258,0.9375,0.18518518518518517,0.018518518518518517,10,0.016194143319162562
11,14883299,12,148801,Absent,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,28,4,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,NOTHING,11,0,24.72536231884058,30.0,102,0.975,8.0,0.08888888888888889,36.0,0.28366013071895424,0.5,0.059105746561956225,0.83125,0.13725490196078433,0.24010358860525344,27,0.008264124158046258
13,14883299,14,148801,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,Unicorn_Absent,-1,-1,0,Unicorn_Present,NOTHING,RS,RS,13,0,24.72536231884058,-80.0,22,0.3,0.0,0.0,32.0,0.0,0.5,1.0,0.975,0.08888888888888889,0.28366013071895424,4,0.059105746561956225
15,14883299,16,148801,Absent,21,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,-64,0,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,LEFT,15,0,24.72536231884058,-64.0,-42,0.4,18.0,0.0,18.0,0.0,0.28125,0.01436959609043909,0.3,0.0,0.0,0,1.0
17,14883299,18,148801,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,24,8,Unicorn_Absent,-1,-1,5,Unicorn_Absent,LEFT,LEFT,RS,17,0,24.72536231884058,24.72536231884058,-18,0.95,32.0,0.19047619047619047,50.0,0.19047619047619047,0.65625,1.0,0.4,0.0,0.0,0,0.01436959609043909
18,14883299,19,148801,Absent,51,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,29,3,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,RS,18,0,24.72536231884058,-36.0,11,0.98125,39.0,0.39215686274509803,39.0,0.39215686274509803,0.5625,0.008264124158046258,0.95,0.19047619047619047,0.19047619047619047,8,1.0
22,14883299,23,148801,Absent,33,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,30,2,Unicorn_Absent,-1,-1,0,Unicorn_Absent,RS,RS,RS,22,0,24.72536231884058,24.72536231884058,41,0.9875,30.0,0.35294117647058826,32.0,0.35294117647058826,0.46875,0.005034190088132767,0.98125,0.39215686274509803,0.39215686274509803,3,0.008264124158046258
23,14883299,24,148801,Absent,35,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,5,27,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,NOTHING,23,0,24.72536231884058,-16.0,46,0.83125,27.0,0.29545454545454547,64.0,0.23295454545454547,0.578125,0.005537830714382473,0.9875,0.35294117647058826,0.35294117647058826,2,0.005034190088132767
26,14883299,27,148801,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,Unicorn_Absent,NOTHING,NOTHING,NOTHING,26,0,24.72536231884058,24.72536231884058,78,1.0,0.0,0.0,1.0,0.015625,0.015625,1.0,0.83125,0.29545454545454547,0.23295454545454547,27,0.005537830714382473
27,14883299,28,148801,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,Unicorn_Absent,NOTHING,NOTHING,NOTHING,27,0,24.72536231884058,24.72536231884058,110,1.0,0.0,1.0,22.0,1.0,0.34375,1.0,1.0,0.0,0.015625,0,1.0
28,14883299,29,148801,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Absent,-1,-1,2,Unicorn_Present,NOTHING,NOTHING,RS,28,0,24.72536231884058,-64.0,46,0.4,0.0,1.0,21.0,0.7352941176470589,0.328125,1.0,1.0,1.0,1.0,0,1.0
30,14883299,31,148801,Absent,34,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,23,9,Unicorn_Absent,-1,-1,0,Unicorn_Absent,RS,RS,NOTHING,30,0,24.72536231884058,24.72536231884058,69,0.94375,26.0,0.0,42.0,0.1794871794871795,0.515625,0.0061027272741740034,0.4,1.0,0.7352941176470589,0,1.0
31,14883299,32,148801,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Absent,-1,-1,2,Unicorn_Present,NOTHING,NOTHING,RS,31,0,24.72536231884058,-64.0,5,0.4,0.0,0.0,39.0,0.3617021276595745,0.609375,1.0,0.94375,0.0,0.1794871794871795,9,0.0061027272741740034
33,14883299,34,148801,Absent,23,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,2,Unicorn_Absent,-1,-1,0,Unicorn_Absent,RS,RS,RS,33,0,24.72536231884058,24.72536231884058,35,0.9875,20.0,0.0,31.0,0.20930232558139536,0.453125,0.01142289099346694,0.4,0.0,0.3617021276595745,0,1.0
34,14883299,35,148801,Absent,16,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-64,0,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,RS,34,0,24.72536231884058,-64.0,-29,0.4,14.0,0.13333333333333333,14.0,0.13333333333333333,0.21875,0.023714766002371646,0.9875,0.0,0.20930232558139536,2,0.01142289099346694
36,14883299,37,148801,Absent,41,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,21,11,Unicorn_Absent,-1,-1,0,Unicorn_Absent,RS,RS,RS,36,0,24.72536231884058,24.72536231884058,-8,0.93125,27.0,0.24242424242424243,50.0,0.24242424242424243,0.609375,0.006737946999085467,0.4,0.13333333333333333,0.13333333333333333,0,0.023714766002371646
37,14883299,38,148801,Absent,32,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,32,0,Unicorn_Absent,-1,-1,0,Unicorn_Absent,RS,RS,RS,37,0,24.72536231884058,24.72536231884058,24,1.0,23.0,0.28205128205128205,26.0,0.25427350427350426,0.40625,0.008264124158046258,0.93125,0.24242424242424243,0.24242424242424243,11,0.006737946999085467
38,14883299,39,148801,Absent,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,RS,38,0,24.72536231884058,-18.0,55,0.99375,2.0,0.0,26.0,0.037037037037037035,0.390625,0.2431167344342142,1.0,0.28205128205128205,0.25427350427350426,0,0.008264124158046258
41,14883299,42,148801,Absent,14,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,28,4,Unicorn_Absent,-1,-1,0,Unicorn_Absent,RS,RS,RS,41,0,24.72536231884058,24.72536231884058,83,0.975,13.0,0.0,28.0,0.375,0.375,0.02717246117223556,0.99375,0.0,0.037037037037037035,1,0.2431167344342142
42,14883299,43,148801,Absent,34,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,32,0,Unicorn_Absent,-1,-1,0,Unicorn_Absent,RS,RS,RS,42,0,24.72536231884058,24.72536231884058,115,1.0,27.0,0.08108108108108109,27.0,0.08108108108108109,0.421875,0.005537830714382473,0.975,0.0,0.375,4,0.02717246117223556
43,14883299,44,148801,Absent,27,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,-64,0,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,UP,43,0,24.72536231884058,-64.0,51,0.4,25.0,0.23809523809523808,25.0,0.7619047619047619,0.390625,0.006737946999085467,1.0,0.08108108108108109,0.08108108108108109,0,0.005537830714382473
45,14883299,46,148801,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,Unicorn_Absent,-1,-1,4,Unicorn_Present,UP,UP,RS,45,0,24.72536231884058,31.5,70,0.91875,32.0,0.26666666666666666,50.0,0.26666666666666666,0.578125,1.0,0.4,0.23809523809523808,0.7619047619047619,0,0.006737946999085467
48,14883299,49,148801,Absent,37,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,17,15,Unicorn_Absent,-1,-1,0,Unicorn_Absent,RS,RS,OUT,48,0,24.72536231884058,24.72536231884058,87,0.90625,30.0,0.3191489361702128,37.0,0.057244174265450865,0.34375,0.005034190088132767,0.91875,0.26666666666666666,0.26666666666666666,13,1.0
49,14883299,50,148801,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,18,14,Unicorn_Absent,-1,-1,8,Unicorn_Present,OUT,OUT,RS,49,0,24.72536231884058,32.0,105,0.9125,28.0,0.28888888888888886,46.0,0.09572649572649577,0.5,1.0,0.90625,0.3191489361702128,0.057244174265450865,15,0.005034190088132767
52,14883299,53,148801,Absent,54,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,11,21,Unicorn_Absent,-1,-1,0,Unicorn_Absent,RS,RS,RS,52,0,24.72536231884058,24.72536231884058,116,0.86875,34.0,0.21568627450980393,52.0,0.07522281639928696,0.484375,0.007454186295369829,0.9125,0.28888888888888886,0.09572649572649577,14,1.0
53,14883299,54,148801,Absent,16,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,23,9,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,RS,53,0,24.72536231884058,32.0,139,0.94375,14.0,0.17073170731707318,43.0,0.2820984813621721,0.53125,0.023714766002371646,0.86875,0.21568627450980393,0.07522281639928696,21,0.007454186295369829
55,14883299,56,148801,Absent,50,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,14,18,Unicorn_Absent,-1,-1,0,Unicorn_Absent,RS,RS,RS,55,0,24.72536231884058,24.72536231884058,153,0.8875,36.0,0.13636363636363635,44.0,0.1697588126159555,0.40625,0.007454186295369829,0.94375,0.17073170731707318,0.2820984813621721,9,0.023714766002371646
56,14883299,57,148801,Absent,41,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,28,4,Unicorn_Absent,-1,-1,0,Unicorn_Absent,RS,RS,RS,56,0,24.72536231884058,24.72536231884058,181,0.975,28.0,0.28,35.0,0.08645161290322584,0.484375,0.005034190088132767,0.8875,0.13636363636363635,0.1697588126159555,18,0.007454186295369829
57,14883299,58,148801,Absent,26,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,23,9,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,RS,57,0,24.72536231884058,-78.0,204,0.94375,19.0,0.34285714285714286,42.0,0.21127819548872181,0.515625,0.012792465124422179,0.975,0.28,0.08645161290322584,4,0.005034190088132767
59,14883299,60,148801,Absent,48,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,29,3,Unicorn_Absent,-1,-1,0,,RS,RS,,59,0,24.72536231884058,,233,0.98125,37.0,0.21739130434782608,37.0,0.18797953964194372,0.53125,0.008264124158046258,0.94375,0.34285714285714286,0.21127819548872181,9,0.012792465124422179
61,14883299,2,329988,Absent,48,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,17,15,Unicorn_Absent,-1,-1,9,Unicorn_Present,RS,RS,RS,61,0,24.72536231884058,-22.0,17,0.90625,33.0,,52.0,,0.578125,0.008264124158046258,,,,,
64,14883299,5,329988,Absent,15,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1,9,Unicorn_Present,RS,RS,RS,64,0,24.72536231884058,30.0,47,0.9875,14.0,0.14634146341463414,27.0,0.006806579693703907,0.390625,0.023714766002371646,0.90625,,,15,0.008264124158046258
69,14883299,10,329988,Absent,48,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,22,10,Unicorn_Absent,-1,-1,9,Unicorn_Absent,RS,RS,RS,69,0,24.72536231884058,24.72536231884058,69,0.9375,35.0,0.16666666666666666,42.0,0.018518518518518517,0.5,0.004584084770106734,0.9875,0.14634146341463414,0.006806579693703907,2,0.023714766002371646
70,14883299,11,329988,Absent,58,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,5,27,Unicorn_Absent,-1,-1,9,Unicorn_Absent,RS,RS,DOWN,70,0,24.72536231884058,24.72536231884058,74,0.83125,38.0,0.37735849056603776,52.0,0.24010358860525344,0.390625,0.0061027272741740034,0.9375,0.16666666666666666,0.018518518518518517,10,0.004584084770106734
71,14883299,12,329988,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,4,Unicorn_Absent,-1,-1,3,Unicorn_Present,DOWN,DOWN,UP,71,0,24.72536231884058,30.0,102,0.975,32.0,0.37254901960784315,36.0,0.28366013071895424,0.5,1.0,0.83125,0.37735849056603776,0.24010358860525344,27,0.0061027272741740034
73,14883299,14,329988,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,Unicorn_Absent,-1,-1,4,Unicorn_Present,UP,UP,NOTHING,73,0,24.72536231884058,-80.0,22,0.3,32.0,0.0,32.0,0.0,0.5,1.0,0.975,0.37254901960784315,0.28366013071895424,4,1.0
75,14883299,16,329988,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Absent,-1,-1,2,Unicorn_Present,NOTHING,NOTHING,RS,75,0,24.72536231884058,-64.0,-42,0.4,0.0,0.0,18.0,0.0,0.28125,1.0,0.3,0.0,0.0,0,1.0
77,14883299,18,329988,Absent,30,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,24,8,Unicorn_Absent,-1,-1,9,Unicorn_Absent,RS,RS,RS,77,0,24.72536231884058,24.72536231884058,-18,0.95,26.0,0.0,50.0,0.19047619047619047,0.65625,0.009182867495108389,0.4,0.0,0.0,0,1.0
78,14883299,19,329988,Absent,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,Unicorn_Absent,-1,-1,9,Unicorn_Present,RS,RS,RS,78,0,24.72536231884058,-36.0,11,0.98125,3.0,0.0,39.0,0.39215686274509803,0.5625,0.17692120631776423,0.95,0.0,0.19047619047619047,8,0.009182867495108389
82,14883299,23,329988,Absent,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1,9,Unicorn_Absent,RS,RS,ALL,82,0,24.72536231884058,24.72536231884058,41,0.9875,4.0,0.0,32.0,0.35294117647058826,0.46875,0.1353352832366127,0.98125,0.0,0.39215686274509803,3,0.17692120631776423
83,14883299,24,329988,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,27,Unicorn_Absent,-1,-1,1,Unicorn_Present,ALL,ALL,RS,83,0,24.72536231884058,-16.0,46,0.83125,64.0,0.0625,64.0,0.23295454545454547,0.578125,1.0,0.9875,0.0,0.35294117647058826,2,0.1353352832366127
86,14883299,27,329988,Absent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,9,Unicorn_Absent,RS,RS,RS,86,0,24.72536231884058,24.72536231884058,78,1.0,1.0,0.015625,1.0,0.015625,0.015625,0.36787944117144233,0.83125,0.0625,0.23295454545454547,27,1.0
87,14883299,28,329988,Absent,30,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,32,0,Unicorn_Absent,-1,-1,9,Unicorn_Absent,RS,RS,RS,87,0,24.72536231884058,24.72536231884058,110,1.0,22.0,0.0,22.0,1.0,0.34375,0.009182867495108389,1.0,0.015625,0.015625,0,0.36787944117144233
88,14883299,29,329988,Absent,26,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,-64,0,Unicorn_Absent,-1,-1,9,Unicorn_Present,RS,RS,RS,88,0,24.72536231884058,-64.0,46,0.4,21.0,0.2647058823529412,21.0,0.7352941176470589,0.328125,0.010228516799093708,1.0,0.0,1.0,0,0.009182867495108389
90,14883299,31,329988,Absent,32,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,23,9,Unicorn_Absent,-1,-1,9,Unicorn_Absent,RS,RS,RS,90,0,24.72536231884058,24.72536231884058,69,0.94375,25.0,0.1794871794871795,42.0,0.1794871794871795,0.515625,0.006737946999085467,0.4,0.2647058823529412,0.7352941176470589,0,0.010228516799093708
91,14883299,32,329988,Absent,58,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,-64,0,Unicorn_Absent,-1,-1,9,Unicorn_Present,RS,RS,RS,91,0,24.72536231884058,-64.0,5,0.4,39.0,0.3617021276595745,39.0,0.3617021276595745,0.609375,0.006737946999085467,0.94375,0.1794871794871795,0.1794871794871795,9,0.006737946999085467
