index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
2160,12403373,1,124041,Absent,23,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,23,9,Unicorn_Absent,-1,-1.0,0,23,0.94375,20.0,1.0,37.0,0.0,0.4375,RS,RS,0.01142289099346694,,,,,
2164,12403373,3,124041,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,55,1.0,0.0,0.0,0.0,0.0,0.0,NOTHING,NOTHING,1.0,0.94375,1.0,0.0,9,0.01142289099346694
2166,12403373,4,124041,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,87,1.0,0.0,1.0,0.0,0.0,0.0,NOTHING,NOTHING,1.0,1.0,0.0,0.0,0,1.0
2168,12403373,5,124041,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,119,1.0,0.0,1.0,0.0,0.0,0.0,NOTHING,NOTHING,1.0,1.0,1.0,0.0,0,1.0
2172,12403373,7,124041,Absent,37,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,12,20,Unicorn_Absent,-1,-1.0,0,131,0.875,28.0,0.0,46.0,0.0,0.40625,RS,RS,0.005034190088132767,1.0,1.0,0.0,0,1.0
2174,12403373,8,124041,Absent,28,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,16,16,Unicorn_Absent,-1,-1.0,0,147,0.9,24.0,0.3,42.0,0.0,0.40625,RS,RS,0.007454186295369829,0.875,0.0,0.0,20,0.005034190088132767
2178,12403373,10,124041,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,179,1.0,32.0,0.19148936170212766,33.0,0.0,0.515625,UP,UP,1.0,0.9,0.3,0.0,16,0.007454186295369829
2184,12403373,13,124041,Absent,31,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,32,0,Unicorn_Absent,-1,-1.0,0,211,1.0,25.0,0.32558139534883723,25.0,0.0,0.390625,RS,RS,0.006737946999085467,1.0,0.19148936170212766,0.0,0,1.0
2186,12403373,14,124041,Absent,31,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,32,0,Unicorn_Absent,-1,-1.0,0,243,1.0,25.0,1.0,25.0,0.0,0.390625,RS,RS,0.006737946999085467,1.0,0.32558139534883723,0.0,0,0.006737946999085467
2188,12403373,15,124041,Absent,31,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,32,0,Unicorn_Absent,-1,-1.0,0,275,1.0,25.0,1.0,25.0,0.0,0.390625,RS,RS,0.006737946999085467,1.0,1.0,0.0,0,0.006737946999085467
2190,12403373,16,124041,Absent,31,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,32,0,Unicorn_Absent,-1,-1.0,0,307,1.0,25.0,1.0,25.0,0.058490566037735836,0.390625,RS,RS,0.006737946999085467,1.0,1.0,0.0,0,0.006737946999085467
2196,12403373,19,124041,Absent,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,8,Unicorn_Absent,-1,-1.0,0,331,0.95,10.0,0.09375,38.0,0.058490566037735836,0.46875,RS,RS,0.04232921962320499,1.0,1.0,0.058490566037735836,0,0.006737946999085467
2202,12403373,22,124041,Absent,30,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,19,13,Unicorn_Absent,-1,-1.0,0,350,0.91875,27.0,0.1935483870967742,44.0,0.19148936170212766,0.484375,RS,RS,0.008264124158046258,0.95,0.09375,0.058490566037735836,8,0.04232921962320499
2208,12403373,25,124041,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,3,382,1.0,32.0,0.2826086956521739,64.0,0.19148936170212766,1.0,DOWN,DOWN,1.0,0.91875,0.1935483870967742,0.19148936170212766,13,0.008264124158046258
2210,12403373,26,124041,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,3,414,1.0,32.0,1.0,64.0,0.32558139534883723,1.0,DOWN,DOWN,1.0,1.0,0.2826086956521739,0.19148936170212766,0,1.0
2212,12403373,27,124041,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,3,446,1.0,32.0,1.0,64.0,0.32558139534883723,1.0,DOWN,DOWN,1.0,1.0,1.0,0.32558139534883723,0,1.0
2214,12403373,28,124041,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,3,478,1.0,32.0,1.0,64.0,0.0,1.0,DOWN,DOWN,1.0,1.0,1.0,0.32558139534883723,0,1.0
2216,12403373,29,124041,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,3,510,1.0,32.0,1.0,64.0,0.0,1.0,DOWN,DOWN,1.0,1.0,1.0,0.0,0,1.0
2218,12403373,30,124041,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,3,542,1.0,32.0,1.0,64.0,0.0,1.0,DOWN,DOWN,1.0,1.0,1.0,0.0,0,1.0
2226,12403373,34,124041,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,3,574,1.0,32.0,1.0,64.0,0.0,1.0,DOWN,DOWN,1.0,1.0,1.0,0.0,0,1.0
2232,12403373,37,124041,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,3,606,1.0,32.0,1.0,64.0,0.0,1.0,DOWN,DOWN,1.0,1.0,1.0,0.0,0,1.0
2234,12403373,38,124041,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,3,638,1.0,32.0,1.0,64.0,0.0,1.0,DOWN,DOWN,1.0,1.0,1.0,0.0,0,1.0
2238,12403373,40,124041,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,3,670,1.0,32.0,1.0,64.0,0.09375,1.0,DOWN,DOWN,1.0,1.0,1.0,0.0,0,1.0
2240,12403373,41,124041,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,3,702,1.0,32.0,1.0,64.0,0.09375,1.0,DOWN,DOWN,1.0,1.0,1.0,0.09375,0,1.0
2242,12403373,42,124041,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,3,734,1.0,32.0,1.0,64.0,0.21070693205216195,1.0,DOWN,DOWN,1.0,1.0,1.0,0.09375,0,1.0
2246,12403373,44,124041,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,3,766,1.0,32.0,1.0,64.0,0.21070693205216195,1.0,DOWN,DOWN,1.0,1.0,1.0,0.21070693205216195,0,1.0
2252,12403373,47,124041,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,3,798,1.0,32.0,1.0,64.0,0.06692242114236996,1.0,DOWN,DOWN,1.0,1.0,1.0,0.21070693205216195,0,1.0
2254,12403373,48,124041,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,3,830,1.0,32.0,1.0,64.0,0.06692242114236996,1.0,DOWN,DOWN,1.0,1.0,1.0,0.06692242114236996,0,1.0
2256,12403373,49,124041,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,3,862,1.0,32.0,1.0,64.0,0.0,1.0,DOWN,DOWN,1.0,1.0,1.0,0.06692242114236996,0,1.0
2258,12403373,50,124041,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,3,894,1.0,32.0,1.0,64.0,0.0,1.0,DOWN,DOWN,1.0,1.0,1.0,0.0,0,1.0
2262,12403373,52,124041,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,3,926,1.0,32.0,1.0,64.0,0.0,1.0,DOWN,DOWN,1.0,1.0,1.0,0.0,0,1.0
2266,12403373,54,124041,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,3,958,1.0,32.0,1.0,64.0,0.0,1.0,DOWN,DOWN,1.0,1.0,1.0,0.0,0,1.0
2268,12403373,55,124041,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,3,990,1.0,32.0,1.0,64.0,0.0,1.0,DOWN,DOWN,1.0,1.0,1.0,0.0,0,1.0
2270,12403373,56,124041,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,3,1022,1.0,32.0,1.0,64.0,0.0,1.0,DOWN,DOWN,1.0,1.0,1.0,0.0,0,1.0
2272,12403373,57,124041,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,3,1054,1.0,32.0,1.0,64.0,0.0,1.0,DOWN,DOWN,1.0,1.0,1.0,0.0,0,1.0
2161,12403373,1,337363,Absent,39,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,23,9,Unicorn_Absent,-1,-1.0,9,23,0.94375,26.0,1.0,37.0,0.0,0.4375,RS,RS,0.0061027272741740034,,,,,
2165,12403373,3,337363,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,55,1.0,0.0,0.0,0.0,0.0,0.0,NOTHING,NOTHING,1.0,0.94375,1.0,0.0,9,0.0061027272741740034
2167,12403373,4,337363,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,87,1.0,0.0,1.0,0.0,0.0,0.0,NOTHING,NOTHING,1.0,1.0,0.0,0.0,0,1.0
2169,12403373,5,337363,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,119,1.0,0.0,1.0,0.0,0.0,0.0,NOTHING,NOTHING,1.0,1.0,1.0,0.0,0,1.0
2173,12403373,7,337363,Absent,61,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,12,20,Unicorn_Absent,-1,-1.0,9,131,0.875,38.0,0.0,46.0,0.0,0.40625,RS,RS,0.009182867495108389,1.0,1.0,0.0,0,1.0
2175,12403373,8,337363,Absent,52,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,16,16,Unicorn_Absent,-1,-1.0,9,147,0.9,34.0,0.3584905660377358,42.0,0.0,0.40625,RS,RS,0.005034190088132767,0.875,0.0,0.0,20,0.009182867495108389
2179,12403373,10,337363,Absent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,9,179,1.0,1.0,0.0,33.0,0.0,0.515625,RS,RS,0.36787944117144233,0.9,0.3584905660377358,0.0,16,0.005034190088132767
2185,12403373,13,337363,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,211,1.0,0.0,0.0,25.0,0.0,0.390625,NOTHING,NOTHING,1.0,1.0,0.0,0.0,0,0.36787944117144233
2187,12403373,14,337363,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,243,1.0,0.0,1.0,25.0,0.0,0.390625,NOTHING,NOTHING,1.0,1.0,0.0,0.0,0,1.0
2189,12403373,15,337363,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,275,1.0,0.0,1.0,25.0,0.0,0.390625,NOTHING,NOTHING,1.0,1.0,1.0,0.0,0,1.0
2191,12403373,16,337363,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,307,1.0,0.0,1.0,25.0,0.0,0.390625,NOTHING,NOTHING,1.0,1.0,1.0,0.0,0,1.0
2197,12403373,19,337363,Absent,46,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,24,8,Unicorn_Absent,-1,-1.0,9,331,0.95,36.0,0.0,38.0,0.0,0.46875,RS,RS,0.005034190088132767,1.0,1.0,0.0,0,1.0
2203,12403373,22,337363,Absent,39,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,19,13,Unicorn_Absent,-1,-1.0,9,350,0.91875,30.0,0.40425531914893614,44.0,0.0,0.484375,RS,RS,0.007454186295369829,0.95,0.0,0.0,8,0.005034190088132767
2209,12403373,25,337363,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,382,1.0,32.0,0.21568627450980393,64.0,0.0,1.0,UP,UP,1.0,0.91875,0.40425531914893614,0.0,13,0.007454186295369829
2211,12403373,26,337363,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,414,1.0,32.0,1.0,64.0,0.0,1.0,UP,UP,1.0,1.0,0.21568627450980393,0.0,0,1.0
2213,12403373,27,337363,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,446,1.0,32.0,1.0,64.0,0.0,1.0,UP,UP,1.0,1.0,1.0,0.0,0,1.0
2215,12403373,28,337363,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,478,1.0,32.0,1.0,64.0,0.0,1.0,UP,UP,1.0,1.0,1.0,0.0,0,1.0
2217,12403373,29,337363,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,510,1.0,32.0,1.0,64.0,0.0,1.0,UP,UP,1.0,1.0,1.0,0.0,0,1.0
2219,12403373,30,337363,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,542,1.0,32.0,1.0,64.0,0.0,1.0,UP,UP,1.0,1.0,1.0,0.0,0,1.0
2227,12403373,34,337363,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,574,1.0,32.0,1.0,64.0,0.0,1.0,UP,UP,1.0,1.0,1.0,0.0,0,1.0
2233,12403373,37,337363,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,606,1.0,32.0,1.0,64.0,0.0,1.0,UP,UP,1.0,1.0,1.0,0.0,0,1.0
2235,12403373,38,337363,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,638,1.0,32.0,1.0,64.0,0.0,1.0,UP,UP,1.0,1.0,1.0,0.0,0,1.0
2239,12403373,40,337363,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,670,1.0,32.0,1.0,64.0,0.0,1.0,UP,UP,1.0,1.0,1.0,0.0,0,1.0
