Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2
726321423,1,1423,Absent,50,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,-86,20,Unicorn_Present,1,5.0,9,Unicorn_Absent,-86,0.2625,,RS,33,,51,,0.484375,,,,,,IN,RS
726321423,2,1423,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,13,22,Unicorn_Absent,-1,-1.0,7,Unicorn_Absent,-73,0.88125,22.0,IN,36,0.40816326530612246,48,0.07482993197278914,0.40625,-86.0,0.2625,,,RS,RS,RS
726321423,3,1423,Absent,43,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,18,17,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,-55,0.9125,19.0,RS,29,0.3541666666666667,45,0.04044117647058826,0.4375,13.0,0.88125,0.40816326530612246,0.07482993197278914,IN,RS,RS
726321423,4,1423,Absent,48,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,16,18,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,-39,0.9,14.0,RS,36,0.3,44,0.040909090909090895,0.40625,18.0,0.9125,0.3541666666666667,0.04044117647058826,RS,RS,RS
726321423,5,1423,Present,27,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,23,14,Unicorn_Present,4,3.0,9,Unicorn_Absent,-16,0.94375,16.0,RS,29,0.32653061224489793,43,0.15261756876663707,0.453125,16.0,0.9,0.3,0.040909090909090895,RS,RS,RS
726321423,6,1423,Absent,49,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,19,15,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,3,0.91875,9.0,RS,34,0.2857142857142857,44,0.05315614617940198,0.453125,23.0,0.94375,0.32653061224489793,0.15261756876663707,RS,RS,IN
726321423,7,1423,Absent,49,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,16,18,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,19,0.9,13.0,RS,33,0.34,52,0.06909090909090909,0.53125,19.0,0.91875,0.2857142857142857,0.05315614617940198,RS,IN,IN
726321423,8,1423,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,7,Unicorn_Present,51,1.0,16.0,IN,36,0.3269230769230769,64,0.02692307692307694,1.0,16.0,0.9,0.34,0.06909090909090909,RS,IN,IN
726321423,9,1423,Present,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,2,1.0,7,Unicorn_Absent,83,1.0,0.0,IN,36,1.0,64,0.0,1.0,32.0,1.0,0.3269230769230769,0.02692307692307694,IN,IN,IN
726321423,10,1423,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,7,Unicorn_Absent,115,1.0,0.0,IN,36,1.0,64,0.0,1.0,32.0,1.0,1.0,0.0,IN,IN,IN
