index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,b11,b12,b13,b14,b15,b16,b17,b18,b21,b22,b23,b24,b25,b26,b27,b28,b31,b32,b33,b34,b35,b36,b37,b38,b41,b42,b43,b44,b45,b46,b47,b48,b51,b52,b53,b54,b55,b56,b57,b58,b61,b62,b63,b64,b65,b66,b67,b68,b71,b72,b73,b74,b75,b76,b77,b78,b81,b82,b83,b84,b85,b86,b87,b88,Score,Joint,Is_there,where_x,where_y,Is_there_LEAD,Category,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,RegionGo,Similarity_LAG1
2767,475-186,8,475-186PL1,Absent,6525,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,15,0,0,0,0,3,4,0,0,5,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,18,6,0,0,11,7,0,19,0,0,0,13,14,0,10,20,0,0,9,-16,0,Unicorn_Absent,-1,-1,Unicorn_Present,RS,2767,0,16.557488653555218,-16.0,-53,0.7,17,0.0,19,0.0,0.296875,0.0070995295993586515,,,,,RS,
2774,475-186,15,475-186PL1,Present,3708,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,4,0,0,0,0,7,6,0,5,0,0,9,0,0,0,0,0,0,0,8,0,-64,0,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,2774,0,16.557488653555218,16.557488653555218,-117,0.4,9,0.13043478260869565,9,0.13043478260869565,0.140625,0.02732372244729257,0.7,0.0,0.0,0.0,RS,0.0070995295993586515
2775,475-186,16,475-186PL1,Present,3422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,4,0,-64,0,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,2775,0,16.557488653555218,16.557488653555218,-181,0.4,7,0.2307692307692308,7,0.7692307692307692,0.109375,0.04179821794405796,0.4,0.13043478260869565,0.13043478260869565,0.0,RS,0.02732372244729257
2776,475-186,17,475-186PL1,Absent,3574,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,9,8,0,0,0,0,0,0,0,0,5,0,0,0,0,-64,0,Unicorn_Absent,-1,-1,Unicorn_Present,RS,2776,0,16.557488653555218,-64.0,-245,0.4,9,0.06666666666666668,9,0.9333333333333332,0.140625,0.02732372244729257,0.4,0.2307692307692308,0.7692307692307692,0.0,RS,0.04179821794405796
2778,475-186,19,475-186PL1,Present,4270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,2,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,-65,1,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,2778,0,16.557488653555218,16.557488653555218,-310,0.39375,6,0.07142857142857142,41,0.07142857142857142,0.625,0.05289810879416657,0.4,0.06666666666666668,0.9333333333333332,0.0,RS,0.02732372244729257
2779,475-186,20,475-186PL1,Absent,5470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,2779,0,16.557488653555218,16.557488653555218,-279,0.99375,3,0.125,38,0.2867647058823529,0.578125,0.12512263168945895,0.39375,0.07142857142857142,0.07142857142857142,1.0,RS,0.05289810879416657
2780,475-186,21,475-186PL1,Absent,4341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,1,4,0,0,0,8,0,0,0,5,0,0,0,0,0,11,0,0,0,10,9,0,27,5,Unicorn_Absent,-1,-1,Unicorn_Present,RS,2780,0,16.557488653555218,-65.33333333333333,-252,0.96875,10,0.0,32,0.3404255319148936,0.421875,0.022488905231637643,0.99375,0.125,0.2867647058823529,1.0,NOTHING,0.12512263168945895
2787,475-186,28,475-186PL1,Absent,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Absent,-1,-1,Unicorn_Present,NOTHING,2787,0,16.557488653555218,-64.0,-316,0.4,0,0.0,0,0.0,0.0,1.0,0.96875,0.0,0.3404255319148936,5.0,NOTHING,0.022488905231637643
2789,475-186,30,475-186PL1,Absent,1382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,0,Unicorn_Absent,-1,-1,Unicorn_Present,NOTHING,2789,0,16.557488653555218,-68.0,-384,0.375,0,1.0,30,1.0,0.46875,1.0,0.4,0.0,0.0,0.0,RS,1.0
2791,475-186,32,475-186PL1,Absent,3703,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,1,7,0,0,0,0,2,0,0,8,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,12,0,0,0,0,29,3,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,2791,0,16.557488653555218,16.557488653555218,-355,0.98125,12,0.0,25,0.2432432432432433,0.34375,0.015655672960895994,0.375,1.0,1.0,0.0,RS,1.0
