index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,b11,b12,b13,b14,b15,b16,b17,b18,b21,b22,b23,b24,b25,b26,b27,b28,b31,b32,b33,b34,b35,b36,b37,b38,b41,b42,b43,b44,b45,b46,b47,b48,b51,b52,b53,b54,b55,b56,b57,b58,b61,b62,b63,b64,b65,b66,b67,b68,b71,b72,b73,b74,b75,b76,b77,b78,b81,b82,b83,b84,b85,b86,b87,b88,Score,Joint,Is_there,where_x,where_y,Is_there_LEAD,Category,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,RegionGo,RegionGo2,Similarity_LAG1
1264,313-199,5,313-199PL2,Absent,65120,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,2,3,4,0,0,0,0,8,7,6,5,0,0,0,0,9,10,11,12,0,0,0,0,16,15,14,13,0,0,0,0,17,18,19,20,0,0,0,0,24,23,22,21,0,0,0,0,25,26,27,28,0,0,0,0,32,31,30,29,0,0,0,0,0,32,Unicorn_Absent,-1,-1,Unicorn_Present,LEFT,1264,0,16.557488653555218,-96.0,-96,0.8,32,1.0,63,0.03125,0.484375,1.0,,,,,ALL,RS,
1266,313-199,7,313-199PL2,Absent,33408,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,33,49,50,65,8,7,6,5,34,48,51,64,9,10,11,12,36,47,52,63,16,15,14,13,37,46,53,62,17,18,19,20,38,45,54,61,24,23,22,21,39,44,55,60,25,26,27,28,40,43,56,59,32,31,30,29,41,42,57,58,-31,63,Unicorn_Absent,-1,-1,Unicorn_Present,ALL,1266,0,16.557488653555218,-75.0,-127,0.60625,64,0.5,64,0.46875,0.015625,1.0,0.8,1.0,0.03125,32.0,RS,NOTHING,1.0
1269,313-199,10,313-199PL2,Absent,5131,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,1,Unicorn_Absent,-1,-1,Unicorn_Present,RS,1269,0,16.557488653555218,-9.333333333333334,-136,0.74375,3,0.046875,17,0.19122023809523808,0.25,0.09375,0.60625,0.5,0.46875,63.0,NOTHING,NOTHING,1.0
1273,313-199,14,313-199PL2,Absent,6179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,Unicorn_Absent,NOTHING,1273,0,16.557488653555218,16.557488653555218,-104,1.0,0,0.0,32,0.175,0.5,,0.74375,0.046875,0.19122023809523808,1.0,NOTHING,RS,0.09375
1274,313-199,15,313-199PL2,Present,1688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Absent,-1,-1,Unicorn_Absent,NOTHING,1274,0,16.557488653555218,16.557488653555218,-168,0.4,0,1.0,38,0.5416666666666667,0.59375,,1.0,0.0,0.175,0.0,RS,RS,
1275,313-199,16,313-199PL2,Absent,19042,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,47,0,37,43,42,0,65,64,0,49,45,44,60,66,41,61,36,0,38,39,0,58,67,68,35,50,34,0,32,55,30,70,0,54,0,51,71,52,0,29,19,20,21,23,0,25,26,28,18,16,15,72,13,12,0,10,1,2,3,4,7,6,8,9,-14,46,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,1275,0,16.557488653555218,16.557488653555218,-182,0.7125,53,0.0,59,0.5,0.203125,0.828125,0.4,1.0,0.5416666666666667,0.0,RS,RS,
1276,313-199,17,313-199PL2,Absent,1697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1,Unicorn_Present,RS,1276,0,16.557488653555218,31.5,-151,0.99375,1,0.0,60,0.75,0.921875,0.03125,0.7125,0.0,0.5,46.0,RS,NOTHING,0.828125
1279,313-199,20,313-199PL2,Absent,16753,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,10,0,5,0,0,0,0,15,0,11,0,4,0,0,0,0,16,0,12,0,3,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,14,0,1,20,12,Unicorn_Absent,-1,-1,Unicorn_Present,RS,1279,0,16.557488653555218,32.0,-131,0.925,16,0.0625,52,0.6517857142857143,0.625,0.2682926829268293,0.99375,0.0,0.75,1.0,NOTHING,NOTHING,0.03125
1281,313-199,22,313-199PL2,Present,1566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Absent,-1,-1,Unicorn_Present,NOTHING,1281,0,16.557488653555218,-16.0,-195,0.4,0,0.0,14,0.21568627450980396,0.21875,,0.925,0.0625,0.6517857142857143,12.0,NOTHING,NOTHING,0.2682926829268293
1284,313-199,25,313-199PL2,Absent,1349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,Unicorn_Absent,NOTHING,1284,0,16.557488653555218,16.557488653555218,-163,1.0,0,1.0,4,0.9411764705882352,0.0625,,0.4,0.0,0.21568627450980396,0.0,NOTHING,NOTHING,
